Date,Open,High,Low,Close,Volume
10/30/2024,"177.47","179.19","175.62","176.64","17,911,490"
10/29/2024,"172.44","180.23","171.21","179.24","23,702,340"
10/28/2024,"173.00","173.97","171.35","172.02","13,195,830"
10/25/2024,"174.19","176.80","172.72","173.00","19,977,680"
10/24/2024,"174.26","174.30","169.50","171.35","20,485,170"
10/23/2024,"177.59","178.98","172.57","173.51","19,513,711"
10/22/2024,"178.66","180.69","177.41","179.38","12,062,650"
10/21/2024,"179.38","181.72","178.25","179.99","13,695,150"
10/18/2024,"182.32","182.71","178.68","179.89","17,835,250"
10/17/2024,"181.37","185.51","180.69","181.53","25,232,430"
10/16/2024,"178.51","179.25","175.33","176.82","15,285,050"
10/15/2024,"180.79","181.70","173.37","175.98","27,657,529"
10/14/2024,"183.30","184.95","180.13","182.31","17,195,820"
10/11/2024,"181.14","182.59","177.40","181.48","23,070,020"
10/10/2024,"183.56","186.31","182.53","185.69","16,317,970"
10/09/2024,"179.24","186.42","176.42","185.95","25,504,061"
10/08/2024,"175.42","181.60","174.89","180.73","20,774,189"
10/07/2024,"174.82","178.31","173.86","175.08","15,588,330"
10/04/2024,"176.30","176.90","172.60","176.64","17,941,391"
10/03/2024,"169.62","174.94","169.19","171.89","13,072,280"
10/02/2024,"167.55","172.84","167.02","170.66","14,317,830"
10/01/2024,"172.16","172.25","165.80","167.47","23,770,420"
09/30/2024,"171.87","172.92","169.63","172.50","16,900,029"
09/27/2024,"178.17","178.47","171.76","172.69","20,580,910"
09/26/2024,"178.50","180.25","175.00","178.09","24,340,000"
09/25/2024,"174.65","177.14","173.76","175.52","16,613,801"
09/24/2024,"172.81","175.99","171.68","174.84","34,223,406"
09/23/2024,"172.00","173.32","168.35","172.94","29,431,109"
09/20/2024,"167.18","172.02","166.47","171.10","91,758,516"
09/19/2024,"167.68","170.00","165.66","167.42","32,453,061"
09/18/2024,"163.77","167.47","161.36","161.67","26,557,561"
09/17/2024,"165.49","166.02","160.70","162.47","19,844,340"
09/16/2024,"165.19","165.50","160.41","164.02","26,126,930"
09/13/2024,"166.74","168.08","164.04","167.69","29,850,051"
09/12/2024,"158.10","166.32","156.83","164.56","43,581,922"
09/11/2024,"148.39","158.87","145.04","158.27","39,700,770"
09/10/2024,"141.22","149.86","141.04","148.21","36,067,473"
09/09/2024,"139.11","141.59","134.90","140.82","39,516,688"
09/06/2024,"143.25","143.50","136.60","137.00","76,634,633"
09/05/2024,"150.57","156.36","150.11","152.82","31,548,539"
09/04/2024,"150.30","157.79","149.15","154.12","20,324,061"
09/03/2024,"160.38","160.74","151.38","152.79","37,133,200"
08/30/2024,"161.12","163.24","158.71","162.82","25,158,510"
08/29/2024,"158.49","163.20","155.41","156.93","23,519,289"
08/28/2024,"160.08","162.28","156.25","158.18","18,063,619"
08/27/2024,"157.60","162.03","155.83","161.39","16,683,109"
08/26/2024,"164.96","165.70","158.66","159.62","18,521,150"
08/23/2024,"165.03","168.28","163.46","166.36","18,848,020"
08/22/2024,"170.84","172.42","161.49","162.34","30,044,529"
08/21/2024,"165.12","166.47","162.88","165.78","16,097,690"
08/20/2024,"167.05","168.37","164.15","165.95","19,417,490"
08/19/2024,"164.86","167.83","160.42","167.71","20,441,689"
08/16/2024,"164.47","166.09","162.68","165.72","19,296,869"
08/15/2024,"161.20","166.67","160.34","166.13","27,944,971"
08/14/2024,"158.02","160.25","154.72","157.69","20,184,199"
08/13/2024,"151.55","156.38","149.81","156.16","22,053,600"
08/12/2024,"148.08","151.13","146.37","148.62","17,778,471"
08/09/2024,"144.20","149.55","144.11","148.26","18,438,660"
08/08/2024,"141.20","146.27","138.40","145.74","27,583,199"
08/07/2024,"148.25","150.10","135.83","136.27","29,749,760"
08/06/2024,"141.73","148.91","140.25","143.92","24,751,289"
08/05/2024,"129.61","145.42","128.50","142.08","41,309,262"
08/02/2024,"141.93","145.35","139.60","143.82","33,745,840"
08/01/2024,"157.50","158.91","146.17","147.02","40,319,961"
07/31/2024,"151.47","161.33","151.00","160.68","45,827,512"
07/30/2024,"153.28","153.47","143.35","143.52","31,102,340"
07/29/2024,"152.02","155.00","149.15","150.22","16,625,760"
07/26/2024,"153.50","153.58","149.92","151.63","20,839,869"
07/25/2024,"151.26","153.55","145.52","149.26","30,872,131"
07/24/2024,"160.36","161.41","151.10","151.34","37,162,621"
07/23/2024,"160.40","165.33","159.90","163.77","21,570,180"
07/22/2024,"160.23","162.99","157.90","161.06","28,813,330"
07/19/2024,"161.84","163.95","157.12","157.35","26,309,551"
07/18/2024,"158.89","161.51","153.90","160.52","37,973,500"
07/17/2024,"162.31","162.84","155.61","155.98","43,343,359"
07/16/2024,"172.40","172.81","166.40","169.38","22,244,939"
07/15/2024,"170.00","173.51","169.26","171.42","22,999,199"
07/12/2024,"171.10","172.59","169.13","170.07","30,453,000"
07/11/2024,"176.47","176.49","166.85","170.60","51,111,679"
07/10/2024,"174.60","176.65","172.64","174.47","41,074,200"
07/09/2024,"175.66","177.10","170.56","173.33","37,916,210"
07/08/2024,"170.50","175.69","170.50","174.59","36,398,460"
07/05/2024,"175.56","176.55","169.60","170.33","45,240,480"
07/03/2024,"167.00","172.92","166.45","172.92","39,953,820"
07/02/2024,"164.08","165.92","162.20","165.75","32,538,840"
07/01/2024,"160.82","164.88","159.35","164.08","47,623,440"
06/28/2024,"159.59","163.92","158.60","160.55","69,376,639"
06/27/2024,"159.20","160.56","157.10","158.67","31,649,060"
06/26/2024,"159.76","161.82","157.36","159.20","46,478,750"
06/25/2024,"160.01","160.60","156.40","158.08","56,810,449"
06/24/2024,"164.21","166.10","159.07","159.22","58,575,379"
06/21/2024,"169.57","171.40","165.14","165.86","99,998,609"
06/20/2024,"180.35","180.48","172.22","173.46","68,156,619"
06/18/2024,"183.96","185.16","178.50","180.25","86,796,739"
06/17/2024,"180.00","184.30","177.86","182.89","87,527,619"
06/14/2024,"168.69","174.72","168.21","173.50","69,704,719"
06/13/2024,"171.00","173.59","165.25","167.90","89,060,649"
06/12/2024,"150.00","150.58","147.64","149.55","56,697,369"
06/11/2024,"143.82","146.50","141.62","146.10","34,844,320"
06/10/2024,"140.98","144.91","140.91","144.05","31,081,710"
06/07/2024,"140.78","142.50","139.70","140.66","17,859,030"
06/06/2024,"142.19","142.27","138.82","140.13","20,171,810"
